original,simplified
"The judge ordered that Chapman should receive psychiatric treatment in prison and sentenced him to twenty years to life , slightly less than the maximum possible of twenty-five years to life .","  The judge ordered  that Chapman should receive  psychiatric treatment  in prison.   judge    sentenced    him      to twenty years      to life  . And judge   ,     .   judge      the maximum possible        of      twenty      - five years      to life.    "
"A succession of steadily more powerful and flexible computing devices were constructed in the 1930s and 1940s , gradually adding the key features that are seen in modern computers .","  A succession  of   steadily more powerful  and flexible computing devices were constructed  in the 1930s  and 1940s ,.  succession  adding  the key features  that are seen  in modern computers.  "
Since then they have changed their name to Palladium and played alongside Amy Winehouse .,  Since then they have changed  their name  to Palladium. And they have  played  alongside Amy Winehouse.  
A boot is a type of footwear that covers at least the foot and the ankle and sometimes extends up to the knee or even the hip .,A boot is a type of footwear. A type that covers at least the foot and the ankle and sometimes extends up to the knee or even the hip.  
"During the war , Iraq used chemical weapons against Iranian forces fighting on the southern front and Kurdish separatists who were attempting to open up a northern front in Iraq with the help of Iran .",During the war Iraq used chemical weapons against Iranian forces fighting on the Southern front and Kurdish Separatists. The Southern front and Kurdish Separatists who were attempting to open up a northern front in Iraq with the help of Iran.  
December is the twelfth and last month of the year in the Gregorian Calendar and one of seven Gregorian months with the length of 31 days .,December is the twelfth and last month of the year in the Gregorian Calendar and one of seven Gregorian months with the length of 31 days . 
A naval mine is a self-contained explosive device placed in water to destroy ships or submarines .,A mine is a self- contained explosive device placed in water to destroy ships or submarines. A mine is naval.  
"The penetrating partner stands , and the receiving partner wraps their arms around his neck , and their legs around his waist , thereby exposing either the vagina or anus to the man 's penis .",  The partner stands. And the partner wraps. And the partner wraps are their arms around his neck and their legs around his waist.  partner  exposing    either the vagina    or Anus     to    the man ' s Penis.   The partner is receiving.  The partner is penetrating.  
"He is also renowned for his work in mechanics , fluid dynamics , optics , and astronomy .","He is also renowned for his work in mechanics , fluid dynamics , optics , and astronomy . "
The eruption causes deaths of livestock when they eat contaminated grass and also widespread crop failure .,  The eruption causes  deaths  of livestock. This is when   they eat  contaminated grass  and also widespread crop failure.  
"An umbrella term is a word that provides a superset or grouping of related concepts , also called a hypernym .",An term is a word also called a Hypernym. A word that provides a Superset or grouping of related concepts.  An term was umbrella.  
In 1940 Ellis became a member of MAUD who were investigating the possibility of using nuclear fission to develop new weapons .,In 1940 Ellis became a member of Maud. A member who were investigating the possibility of using nuclear fission to develop new weapons.  
The female often has a stripe along the spine and dark sides while the male may have blue spots dorsally .,  The female often has  a stripe  along the spine  and dark sides. So    the male may have  blue spots dorsally.  
The combination of new weapons and tactics have caused many historians to consider this battle the beginning of the end of chivalry .,The combination of new weapons and tactics have caused many historians to consider this battle the beginning of the end of chivalry . 
"The caper story is distinguished from the straight crime story by elements of humor , adventure , or unusual cleverness or audacity .","Elements of humor, adventure, or unusual cleverness or audacity distinguish the Caper story from the straight crime story.  "
"Earth travels a tremendous distance in its orbit around the sun , at a speed of around 30 km/s or over 108000 km per hour .","Earth travels a tremendous distance in its orbit around the sun , at a speed of around 30 km/s or over 108000 km per hour . "
"In computing , a protocol is a set of rules which is used by computers to communicate with each other across a network .",In computing a protocol is a set of rules. Rules which is used by computers to communicate with each other across a network.  
"It is a transportation , commercial , and manufacturing centre , and has numerous industrial companies , principally geared towards shipbuilding .","It is a transportation , commercial , and manufacturing centre , and has numerous industrial companies , principally geared towards shipbuilding . "
Residential building codes will typically allow for steeper stairs than public building codes .,Building codes will typically allow for steeper stairs than public building codes. Building codes are residential.  
Approximately 24 % Australians over the age of 15 regularly participate in organised sporting activities in Australia .,Approximately 24 % Australians over the age of 15 regularly participate in organised sporting activities in Australia . 
"Egypt is famous for its ancient civilization and some of the world 's most famous monuments , including the Giza pyramid complex and its Great Sphinx ."," Egypt is famous  for its ancient civilization  some  of  the world 's  most famous monuments ,  including the  Giza pyramid complex. And  and it s Great Sphinx.  "
"In 1973 , Patrick White was awarded the Nobel Prize in Literature , the only Australian to have achieved this .",In 1973 Patrick white was awarded the Nobel Prize in literature. The Nobel prize was the only Australian. The only Australian to have achieved this.   
"During the Second World War , Turing was a main participant in the efforts at Bletchley Park to break German ciphers .","During the Second World War , Turing was a main participant in the efforts at Bletchley Park to break German ciphers . "
The Union commanders then ordered another charge with a cavalry regiment that reinforced the Union infantry .,The union commanders then ordered another charge with a cavalry regiment. A Cavalry regiment that reinforced the Union infantry.  
"In archaeology , an artifact or artefact is any object made or modified by a human culture , and often one later recovered by some archaeological endeavor .","  In archaeology  an Artefact is any object  made  by a human culture.   Artefact  modified.  An Artefact is Artifact.  artifact  , and often  one later recovered  by some archaeological endeavor.  "
"He gives Lulu a revolver , and orders her to kill herself , but when the Schoolboy comes out from under the table he is distracted and she shoots Schön instead .","    He gives  Lulu    a revolver  . This is when    the Schoolboy comes      out        from under the table.       ,       he is distracted.  But  and she shoots Schön instead.   And He  , orders her  to kill herself.  "
An eclipse is an astronomical event that occurs when one celestial object moves into the shadow of another .,An eclipse is an astronomical event. An astronomical event that occurs.  This is when one object moves into the shadow of another. One object is celestial.   
"The London journeys In 1790 , Prince Nikolaus died and was succeeded by a thoroughly unmusical prince who dismissed the entire musical establishment and put Haydn on a pension .","The London journeys   In 1790 ,  Prince Nikolaus died. A thoroughly Unmusical Prince succeeded Prince.  A thoroughly Unmusical Prince who dismissed the entire musical establishment.  And Prince  and put  Haydn    on a pension.   "
"Because of the importance in the community , mosques are used for preaching peaceful co-existence with non-believers , even in times of adversity .","   Because of the importance  in the community , mosques are used.   mosques  preaching  peaceful co-existence  with non-believers ,  even in times  of adversity.  "
"The episodes ran 35 minutes , and episodes were very often edited to a standard half-hour running time when repeated on the BBC or satellite channels .","  The episodes ran  35 minutes.   And   , episodes  were    very often edited    to a  standard    half - hour running time  . This was when  episodes  repeated    on  the    BBC    or satellite channels.   "
"The high annual rainfall has eroded deep valleys in the central mountains , carving out canyons with many scenic waterfalls .",The rainfall has eroded deep valleys in the central mountains carving out canyons with many scenic waterfalls. The rainfall was annual.  The rainfall was high. The rainfall was annual.   
"However , the bulk of the river flows through tropical rainforest , where there are few roads and even fewer cities , so there is no need for crossings ."," However ,  the bulk  of the river flows  through tropical rainforest ,  where there are  few roads  and even fewer cities. So   , there is  no need  for crossings.  "
"The third form of rock material found on Earth is metamorphic rock , which is created from the transformation of pre-existing rock types through high pressures , high temperatures , or both .",The form of rock material found on earth is metamorphic rock. Metamorphic rock which is created from the transformation of pre- existing rock types through high pressures high temperatures or both.  The form is third.  
"For all structures the pinnacle height is given , so the height of skyscrapers may differ from the values at List of skyscrapers .","  For all structures  the pinnacle height is given ,. So    the height  of skyscrapers may differ  from the values  at List  of skyscrapers.  "
"The event is one of the most popular spectator events in Australia , with sometimes over 110,000 people , some dressed in traditional formal raceday wear and others in all manner of exotic and amusing costumes , attending the race .",The event is one of the most popular spectator events in Australia with sometimes over 110 000 people traditional formal Raceday wear and others in all manner of exotic and amusing costumes attending the race. Sometimes over 110 000 people are some dressed in.  
"According to some , before attaining divinity , he was a Chinese hermit of the Sung Dynasty and a reincarnation of the Taoist god Hsuan-Wu .",This was before  he  attaining Divinity.    According to some he was a Chinese Hermit  of the sung dynasty  and a Reincarnation  of the Taoist God.  The God was Hsuan- Wu. The God was Taoist.   
"In these shows , he narrated his experiences of his visits to the United States and Brazil , with anecdotes and witticisms about the culture , lifestyle and beauty of these places .","In these shows , he narrated his experiences of his visits to the United States and Brazil , with anecdotes and witticisms about the culture , lifestyle and beauty of these places . "
"Despite producing strong convection and tropical storm-force sustained winds , it failed to develop a low-level circulation until July 20 ."," it  producing  strong convection  and tropical  storm - force sustained winds.  , it failed  to develop  a  low - level circulation  until July 20.  "
"Quizzes are also brief assessments used in education and similar fields to measure growth in knowledge , abilities , and/or skills .","Quizzes are also brief assessments used in education and similar fields to measure growth in knowledge , abilities , and/or skills . "
"In 1527 it fell into the hands of the Révay family , who suppressed the town privileges of Mošovce for almost 400 years .",In 1527 it fell into the hands of the Révay family. The Révay family who suppressed the town privileges of Mošovce for almost 400 years.  
"This array distributes data across multiple disks , but the array is seen by the computer user and operating system as one single disk .","  This array distributes data  across multiple disks. But, the computer user and operating system sees the array as one single disk.   "
"By the late 1970s , many products such as video recorders contained dedicated computers called microcontrollers , and they started to appear as a replacement to mechanical controls in domestic appliances such as washing machines .","  By the late 1970s ,  many products   such as video recorders contained  dedicated computers  called microcontrollers. And  , they started  to appear  as a replacement  to mechanical controls  in domestic appliances   such as washing machines.  "
The 80 cell prison was built in the shape of a cross with radial exercise yards around a central hall and chapel .,The 80 cell prison was built in the shape of a cross with radial exercise yards around a central hall and chapel . 
"However , it was not until the threat of invasion by the forces of Spain in 1585 that lieutenants were appointed to all counties and counties corporate and became in effect permanent .",However it was not until the threat of invasion by the forces of Spain in 1585. The threat that lieutenants were appointed to all counties and counties corporate and became in effect permanent.  
The average sleep requirement is between seven and nine continuous hours a day for an adult and nine to ten hours for a child ; elderly people usually sleep for six to seven hours .,  The sleep requirement is between  seven  and nine continuous hours  a day  for an adult  and  nine  to ten hours  for a child ;.    elderly people sleep  for  six  to seven hours.  The sleep requirement is average.  
"In traditional mosques , this function is often elaborated into a freestanding building in the center of a courtyard .","In traditional mosques , this function is often elaborated into a freestanding building in the center of a courtyard . "
"Here , simulations of evolution using evolutionary algorithms and artificial life started with the work of Nils Aall Barricelli in the 1960s , and was extended by Alex Fraser , who published a series of papers on simulation of artificial selection ."," Here ,  simulations  of evolution  using  evolutionary algorithms  artificial life started  with the work  of  Nils Aall Barricelli  in the 1960s. And simulations  , and was extended  by Alex Fraser ,  who published  a series  of papers  on simulation  of artificial selection.  "
"By eschewing direct action in favor of influencing popular opinion , Madison tried to make clear that the Democratic-Republicans were not moving toward disunion ."," Madison  eschewing  direct action  in favor  of influencing  popular opinion.   , Madison tried  to make  clear  that  the Democratic - Republicans were not moving  toward disunion.  "
"The tramcar was rebuilt at a cost of # 150,000 but will not be allowed to be re-tested until at least November 2008 as testing is not allowed during the busy summer months and because of the previous closure of the tracks for repairs .","  The tramcar was rebuilt  at a cost  of # 150,000. But tramcar  will not be allowed  to be re-tested  until  at least November 2008  as testing is not allowed  during the busy summer months  and  because of the previous closure  of the tracks  for repairs.  "
"However , it restricted the president to one seven-year term , and Chun did not attempt to amend the document so he could run for reelection in 1987 ."," However , it restricted  the president  to one  seven - year term.   And   , Chun did not attempt    to amend    the document  . So   he could run    for reelection    in 1987.   "
"In the early days of settlement , Singapore was the recipient of Indian convicts , who were tasked with clearing the jungles for settlement and early public works .",In the early days of settlement Singapore was the recipient of Indian convicts. Indian convicts who were Tasked with clearing the jungles for settlement and early public works.  
"In addition , the protein in raw eggs is only 51 % bio-available , whereas that of a cooked egg is nearer 91 % bio-available , meaning the protein of cooked eggs is nearly twice as absorbable as the protein from raw eggs .","  In addition ,  the protein  in raw eggs is only  51 % bio -available ,. But   that  of a cooked egg is nearer   91 % bio -available ,  meaning   the protein  of cooked eggs is  nearly twice as absorbable  as the protein  from raw eggs.  "
"It is revealed in the second episode that he is the current incarnation of the Avatar , the spirit of the planet manifested in human form .","It is revealed in the second episode that he is the current incarnation of the Avatar , the spirit of the planet manifested in human form . "
"In this period , women would also often give knights and warriors gifts that included thyme leaves as it was believed to bring courage to the bearer .",In this period women would also often give knights and warriors gifts. Gifts that included Thyme leaves as it was believed to bring courage to the bearer.  
"These banana shoots produce fibres of varying degrees of softness , yielding yarns and textiles with differing qualities for specific uses .","These banana shoots produce fibres of varying degrees of softness , yielding yarns and textiles with differing qualities for specific uses . "
"His works were some of the finest organ pieces to come from France in over a century , and laid the groundwork for the French symphonic organ style .","  His works were some  of the finest organ pieces  to come  from France in  over a century. And works  , laid  the groundwork  for the French symphonic organ style.  "
"Wonder has recorded several critically acclaimed albums and hit singles , and writes and produces songs for many of his label mates and outside artists as well .","    Wonder has recorded     several    critically acclaimed albums  . And Wonder has  hit singles    , writes.   Wonder has  . And Wonder  and produces    songs    for many    of his label mates    and outside artists    as well.   "
"The term was coined by Thomas Henry Huxley in April 1860 , and was used to describe evolutionary concepts , including earlier concepts such as Malthusianism and Spencerism .","Thomas Henry Huxley coined the term in April 1860.  And term  , was used  to describe  evolutionary concepts ,  including earlier concepts   such as Malthusianism  and Spencerism.  "
"Infants with this disease seem healthy at birth but if left untreated suffer severe brain damage , and eventually die .","  Infants  with this disease seem  healthy  at birth.   Infants     if left untreated suffer    severe brain damage  . But Infants  , and eventually die.   "
"Almost as soon as he leaves , Annius and the guard Publius arrive to escort Vitellia to Titus , who has now chosen her as his empress .","Almost as soon as he leaves , Annius and the guard Publius arrive to escort Vitellia to Titus , who has now chosen her as his empress . "
"After the death of her husband in 1831 , she tried to find employment at the opera in Stockholm , but was denied a position , as her place there had been filled by Henriette Widerberg , and they were concerns that her voice had ben damaged .","      After the death    of her husband    in 1831 , she tried    to find  employment    at the opera    in Stockholm  . And they were concerns. Concerns that her voice had Ben damaged.   But she  , was denied  a position ,  as her place  there had been filled  by Henriette Widerberg.  "
MacMillan gave lectures on each of the nine symphonies of Beethoven which were followed by a performance of the symphony in piano duet arrangement played by MacMillan and Dale .,MacMillan gave lectures on each of the nine symphonies of Beethoven. The nine symphonies which were followed by a performance of the Symphony in piano duet arrangement played by Macmillan and Dale.  
"Many consider the flavor to be very agreeable , but it is generally bitter if steeped in boiling water , so it is made using hot but not boiling water .","    Many consider    the flavor    to be very agreeable   ,. But  so it is made    using      hot    not boiling water.  Then  But   , it is generally bitter  . Suppose it  steeped    in boiling water.   "
"By 1928 , the regional government was moved from the old Cossack capital Novocherkassk to Rostov , which also engulfed the nearby Armenian town of Nor Nakhijevan .",By 1928 the regional government was moved from the old Cossack capital to Rostov. Rostov which also engulfed the nearby Armenian town of nor Nakhijevan.  The Cossack capital was Novocherkassk. The Cossack capital was old.   
"Deomyines share no morphological characteristics that can be used to separate them from other muroids , though subtle aspects of the third upper molar have been suggested ."," Deomyines share  no morphological characteristics  that can be used  to separate them  from other muroids ,. But   subtle aspects  of the third upper molar have been suggested.  "
"For example , in information theory , a signal is a codified message , that is , the sequence of states in a communication channel that encodes a message .",For example in information theory a signal is a codified message. A message is that is the sequence of States in a communication Channel. A communication channel that Encodes a message.  A message is codified.   
"As a result , the rest of the Muslim community is responsible for providing the participants with food , drinks , and whatever else they need during their stay .","  As a result ,  the rest  of the Muslim community is responsible.   rest  providing  the participants  with food  , drinks  , and whatever else  they need  during their stay.  "
"Eleven players were inducted into the category , but in 2000 the board of directors eliminated it and those inductees are now considered to be in the player category .","  Eleven players were inducted  into the category.   ,    in 2000    the board    of directors eliminated  it  . But   and    those inductees are now considered    to be in the player category.   "
"He died on 9 November 1875 , and in 1877 his widow left # 6000 to the University of Sydney as a memorial of him , which was used to found the William Hilton Hovell lectureship on geology and physical geography .", He died  on 9 November 1875. And in 1877 his widow left# 6000 to the University of Sydney as a Memorial of him. A Memorial was the William Hilton Hovell Lectureship on geology and physical geography.  A Memorial which was used to found.   
"Of course , all theories , including those called scientific laws , can always be replaced by more accurate , generalized statements if a disagreement of theory with observed data is ever found .",Then   Statements always replace all theories including those called scientific laws. Statements are of course generalized.  Statements are more accurate. Statements are generalized.    Suppose   a disagreement  of theory  with observed data is ever found.  
"A typical great hall was a rectangular room between one and a half and three times as long as it was wide , and also higher than it was wide .",A hall was a rectangular room between one and a half and three times as long as it was wide and also higher than it was wide. A hall was great.  A hall was typical. A hall was great.   
"Being much more resistant to cold and moist weather conditions , brick enabled the construction of permanent buildings in regions where the harsher climate precluded the use of mud bricks ."," brick  Being resistant  to  cold  and moist weather conditions.  , brick enabled  the construction  of permanent buildings  in regions  where  the harsher climate precluded  the use  of mud bricks.  "
"Being much more resistant to cold and moist weather conditions , brick enabled the construction of permanent buildings in regions where the harsher climate precluded the use of mud bricks ."," brick  Being resistant  to  cold  and moist weather conditions.  , brick enabled  the construction  of permanent buildings  in regions  where  the harsher climate precluded  the use  of mud bricks.  "
"The components are generally distributed together , have a consistent user interface and usually can interact with each other , sometimes in ways that the operating system would not normally allow .","  The components are generally distributed together.   components  can interact  with each other  sometimes in ways.  Ways that the operating system would not normally allow.  And components  , have  a consistent user interface.  "
"Instead of finishing in London , the 2007 race started in London and finished in Glasgow , which used the event to boost its bid to host the 2014 Commonwealth Games ."," race  finishing      in London.      race        .     ,      the 2007 race started      in London.   And race  finished  in Glasgow ,  which used  the event  to boost  it s bid  to host  the 2014 Commonwealth Games.  "
"Most miscarriages occur very early in pregnancy , in most cases , they occur so early in the pregnancy that the woman is not even aware that she was pregnant .", Miscarriages occur  very early  in pregnancy  in most cases.    they occur  in the pregnancy  that  the woman is not even aware  that she was pregnant.  Miscarriages are most.  
"When the biological significance of nicotinic acid was realized , it was thought appropriate to choose a name to dissociate it from nicotine , in order to avoid the perception that vitamins or niacin-rich food contains nicotine , or that cigarettes contain vitamins .", It was thought  appropriate  to choose  a name  to dissociate it  from nicotine.   It  to avoid  the perception.  The perception that vitamins or Niacin-.  This happened when    the biological significance  of nicotinic acid was realized.  
"Another , more romantic legend tells a story of a Tatar princess Söyembikä , who dropped a golden dish -LRB- golden qazan -RRB- in to the river on which the city is located while washing it .",Another legend tells a story of a Tatar princess Söyembikä who dropped a golden dish- Lrb- Golden Qazan- Rrb- in to the river on which the city is located while washing it. Legend is more romantic.  
"For example , a shop might give away its stock in its promotion , but producing these goods would still have required the use of scarce resources , so this would not be a free good in an economic sense .","  For example ,  a shop might give away   it s stock  in its promotion.   shop might    ,    producing    these goods would still have required    the use    of scarce resources  ,  . But  so this would not be a free good    in an economic sense.   "
"Computers using vacuum tubes as their electronic elements were in use throughout the 1950s , but by the 1960s had been largely replaced by transistor-based machines , which were smaller , faster , cheaper to produce , required less power , and were more reliable .",  their elements were in use    throughout the 1950s.       Machines  required    less power   largely had replaced    computers    using    vacuum tubes   but.  And Machines  were more reliable  by the 1960s.  Machines were transistor- based.   Transistor- based machines which were smaller faster cheaper to produce.  Their elements were electronic.  
"It is therefore pointless to email our contact addresses asking for permission to reproduce articles or images , even if rules at your company or school or organization mandate that you ask web site operators before copying their content .","It is therefore pointless to email our contact addresses asking for permission to reproduce articles or images , even if rules at your company or school or organization mandate that you ask web site operators before copying their content . "
"Sustainability is an issue of major transcendence in the contemporary world , which needs to find new options for economic , social , and cultural development ; seeking an improved utilization of natural resources for the benefit of the planet and its inhabitants .",Sustainability is an issue of major transcendence in the contemporary world; seeking an improved utilization of natural resources for the benefit of the planet and its inhabitants. The contemporary world which needs to find new options for economic social and cultural development.  
"It worked out for both parties involved , however , as the show did better in the ratings than it had on Thursdays , while UPN received much better ratings on Fridays than it did before , with its movie night .","      the show did    better    in the ratings  .     it had      on Thursdays    .   So    UPN received            much better ratings        on Fridays          ,           with        it s movie night.    it did before    .    It worked out  for both parties involved , however , ,.  "
"Once overseas it is common for their passport to be confiscated by the trafficker and to be warned of the consequences should they attempt to escape , including beatings , rape , threats of violence against their family and death threats ."," should they attempt  to escape ,  including beatings  , rape  , threats  of violence  against their family  and death threats.  This happened   once   they  should    overseas. And  it is common    for their passport    to be confiscated    by the trafficker    to be warned    of the consequences.   "
"Earth 's interior remains active , with a thick layer of relatively solid mantle , a liquid outer core that generates a magnetic field , and a solid iron inner core .",Earth' s interior remains active with a thick layer of relatively solid Mantle. A layer is a liquid outer core. A liquid outer core that generates a magnetic field and a solid iron inner core.  A layer is thick.   
"These letters usually coincide with the German districts , in few cases an urban district and the surrounding non-urban district share the same letter code .","  These letters usually coincide  with the German districts ,. And   in few cases  an urban district  the surrounding non-urban district share  the same letter code.  "
